HUC_values,THG,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
7030002,0.90710908,645384.3306,153957.4392,645384.3306,153957.4392
7030003,2.525,548677.5764,174095.8732,548677.5764,174095.8732
7030005,0.349883512,574880.8605,67389.17132,574880.8605,67389.17132
7050001,0.317165579,691966.5622,127835.5762,691966.5622,127835.5762
7050002,0.346798012,779907.9553,170756.8019,755099.5492,155865.664
7050003,1.155008297,749305.9515,132996.8632,749305.9515,132996.8632
7050005,1.810265114,670691.8859,25728.12297,670691.8859,25728.12297
7050007,0.699402029,640218.4223,66781.13606,640218.4223,66781.13606
7070001,0.744943835,813384.821,136125.9909,813384.821,136125.9909
7070002,0.901342811,806248.5371,57753.98975,806248.5371,57753.98975
7070003,0.365747375,804195.9698,-40250.86084,804195.9698,-40250.86084
7080104,0.74,768225.3342,-408940.7557,768225.3342,-408940.7557
7090001,0.372002063,903762.5345,-193310.1799,906556.4982,-152534.5368
7120001,2.4095,1077596.255,-322219.4316,1077596.255,-322219.4316
7120004,6.72,991727.4312,-270980.4083,991727.4312,-270980.4083
7120006,4.16835,958215.8878,-199826.3532,958215.8878,-199826.3532
7130001,5.199,895863.8172,-364230.0059,895863.8172,-364230.0059
7130003,0.676,846068.5612,-456153.1587,846068.5612,-456153.1587
7140101,3.484,854979.2075,-678324.0551,854979.2075,-678324.0551
7140105,0.801,908258.8282,-760178.5474,908258.8282,-760178.5474
7140201,0.786,972832.4941,-533228.0553,972832.4941,-533228.0553
7140202,0.694,943865.2167,-626689.8992,943865.2167,-626689.8992
8010208,2.4007,977921.4922,-1002439.483,977921.4922,-1002439.483
8010210,1.6029,964942.2649,-1045096.32,964942.2649,-1045096.32
8080202,1.36,719107.7678,-1643237.855,719107.7678,-1643237.855
8080204,3.4319,671332.9875,-1540871.817,671332.9875,-1540871.817
8090302,1.345,897056.8189,-1670797.536,897056.8189,-1670797.536
9010002,4.7875,-152525.9382,406898.4354,-152525.9382,406898.4354
9020106,3.1,282353.1237,208003.0908,282353.1237,208003.0908
9020107,1.73,231416.2593,258940.1983,231416.2593,258940.1983
9020303,2.31,289685.471,334766.2162,289685.471,334766.2162
9020304,1.36,319434.0385,379932.1031,319434.0385,379932.1031
9030001,1.952431997,629935.8065,358948.9103,629935.8065,358948.9103
9030003,2.635,518586.5031,403768.788,518586.5031,403768.788
