QW_SEQ,CEN,SULFATE
4162,FALSE,3.624
4088,FALSE,3.663
2838,FALSE,3.66857943
3858,FALSE,3.67
3921,FALSE,3.67
3845,FALSE,3.673
3791,FALSE,3.688
3751,FALSE,3.7
3925,FALSE,3.7
3926,FALSE,3.7
5094,FALSE,3.7
5187,FALSE,3.7
2792,FALSE,3.70186422
3827,FALSE,3.702
4149,FALSE,3.707
5136,FALSE,3.71
2837,FALSE,3.71665746
2810,FALSE,3.7199235
2827,FALSE,3.72179667
3345,FALSE,3.74
3840,FALSE,3.74
2816,FALSE,3.75061467
3805,FALSE,3.753
2833,FALSE,3.76291035
2795,FALSE,3.76953849
4053,FALSE,3.776
2804,FALSE,3.77991297
4841,FALSE,3.786
2828,FALSE,3.79931709
4632,FALSE,3.8
5274,FALSE,3.8
3842,FALSE,3.803
4026,FALSE,3.809
5221,FALSE,3.82
4731,FALSE,3.831
4693,FALSE,3.848
4222,FALSE,3.852
3548,FALSE,3.86
4148,FALSE,3.871
4187,FALSE,3.873
3831,FALSE,3.874
4947,FALSE,3.87779811
4794,FALSE,3.89
4061,FALSE,3.897
4365,FALSE,3.9
5158,FALSE,3.9
4125,FALSE,3.908
3785,FALSE,3.909
3563,FALSE,3.92
5101,FALSE,3.92
2815,FALSE,3.9259722
2814,FALSE,3.93586638
2836,FALSE,3.93625062
3828,FALSE,3.938
4104,FALSE,3.943
2791,FALSE,3.9600735
2787,FALSE,3.981687
4030,FALSE,3.984
4063,FALSE,3.987
2805,FALSE,3.99278193
5301,FALSE,4
4168,FALSE,4.004
2781,FALSE,4.00675866
3803,FALSE,4.007
3838,FALSE,4.009
4009,FALSE,4.011
5142,FALSE,4.02
4212,FALSE,4.024
2821,FALSE,4.0282761
5020,FALSE,4.03
3462,FALSE,4.04
4606,FALSE,4.049
2835,FALSE,4.06343406
5081,FALSE,4.07
4680,FALSE,4.075
2729,FALSE,4.09374099
3180,FALSE,4.1
4186,FALSE,4.1
4356,FALSE,4.1
4006,FALSE,4.127
3806,FALSE,4.128
2812,FALSE,4.15166517
2822,FALSE,4.15680438
5195,FALSE,4.16
5253,FALSE,4.16
4948,FALSE,4.16098299
4839,FALSE,4.188
5143,FALSE,4.2
4048,FALSE,4.204
2788,FALSE,4.20766815
2803,FALSE,4.2223173
4059,FALSE,4.234
2799,FALSE,4.24652442
4950,FALSE,4.25982873
3463,FALSE,4.27
3915,FALSE,4.28
2813,FALSE,4.29119232
4380,FALSE,4.3
2739,FALSE,4.33206585
4013,FALSE,4.334
2864,FALSE,4.35939492
4115,FALSE,4.376
2820,FALSE,4.37658966
4343,FALSE,4.4
4756,FALSE,4.4
2779,FALSE,4.41703092
4117,FALSE,4.42
4849,FALSE,4.421
3513,FALSE,4.43
5125,FALSE,4.45
3927,FALSE,4.47
2724,FALSE,4.47269769
2730,FALSE,4.47860538
2854,FALSE,4.47971007
5283,FALSE,4.5
4102,FALSE,4.501
4027,FALSE,4.505
4185,FALSE,4.521
2848,FALSE,4.53220686
2789,FALSE,4.55535732
4128,FALSE,4.561
2784,FALSE,4.57312842
4951,FALSE,4.58230215
3781,FALSE,4.583
2782,FALSE,4.59258057
4188,FALSE,4.593
4378,FALSE,4.6
5048,FALSE,4.6
5082,FALSE,4.6
4937,FALSE,4.62
2844,FALSE,4.62183084
2727,FALSE,4.62970776
4837,FALSE,4.633
2728,FALSE,4.65655653
5216,FALSE,4.68
2783,FALSE,4.68417378
3663,FALSE,4.69
2853,FALSE,4.69834263
4354,FALSE,4.7
4928,FALSE,4.7
5190,FALSE,4.7
3802,FALSE,4.704
4229,FALSE,4.717
5127,FALSE,4.72
2843,FALSE,4.73691072
4223,FALSE,4.763
3804,FALSE,4.767
4043,FALSE,4.785
2731,FALSE,4.78575723
3174,FALSE,4.8
2845,FALSE,4.8039606
3830,FALSE,4.816
4210,FALSE,4.838
4211,FALSE,4.84
2817,FALSE,4.85184651
2717,FALSE,4.87634181
4726,FALSE,4.88
5248,FALSE,4.88
3173,FALSE,4.9
3740,FALSE,4.9
5179,FALSE,4.9
4846,FALSE,4.903
3616,FALSE,4.92
3837,FALSE,4.924
2847,FALSE,4.9331613
3939,FALSE,4.937
3954,FALSE,4.939
4172,FALSE,4.94
4086,FALSE,4.947
5108,FALSE,4.96
3801,FALSE,4.978
5223,FALSE,4.98
5168,FALSE,5
2846,FALSE,5.00097966
2859,FALSE,5.00611887
3783,FALSE,5.028
2714,FALSE,5.03229522
4659,FALSE,5.039
3988,FALSE,5.04
5093,FALSE,5.04
2826,FALSE,5.05213161
2825,FALSE,5.05506144
3741,FALSE,5.06
4107,FALSE,5.063
4669,FALSE,5.066
3957,FALSE,5.092
4730,FALSE,5.092
3441,FALSE,5.1
2721,FALSE,5.10189069
4943,FALSE,5.11010382
2851,FALSE,5.11370607
4954,FALSE,5.12
3847,FALSE,5.176
4108,FALSE,5.199
4930,FALSE,5.2
4182,FALSE,5.21
3308,FALSE,5.22
4181,FALSE,5.23
2773,FALSE,5.23762347
4647,FALSE,5.241
4927,FALSE,5.3
5164,FALSE,5.3
3961,FALSE,5.313
4012,FALSE,5.319
3931,FALSE,5.325
3799,FALSE,5.335
3661,FALSE,5.34
5096,FALSE,5.37
5233,FALSE,5.37
2726,FALSE,5.38435512
4908,FALSE,5.4
4753,FALSE,5.4
2796,FALSE,5.44650594
3934,FALSE,5.447
2850,FALSE,5.49876258
4352,FALSE,5.5
4689,FALSE,5.5
5296,FALSE,5.5
3936,FALSE,5.501
4131,FALSE,5.516
5088,FALSE,5.52
4184,FALSE,5.537
2716,FALSE,5.55635055
3475,FALSE,5.57
5089,FALSE,5.6
5295,FALSE,5.6
2732,FALSE,5.61009612
3473,FALSE,5.63
3908,FALSE,5.66
2809,FALSE,5.66292912
4126,FALSE,5.673
2849,FALSE,5.67311148
3743,FALSE,5.69
4364,FALSE,5.7
3937,FALSE,5.743
3686,FALSE,5.75
5219,FALSE,5.78
3641,FALSE,5.81
5229,FALSE,5.81
4087,FALSE,5.811
3855,FALSE,5.83
3856,FALSE,5.83
5084,FALSE,5.83
4653,FALSE,5.851
3933,FALSE,5.853
2720,FALSE,5.85365625
4920,FALSE,5.9
5099,FALSE,5.9
4100,FALSE,5.904
3943,FALSE,5.943
3891,FALSE,5.96
4175,FALSE,5.97
3458,FALSE,6
3913,FALSE,6.03
5171,FALSE,6.05
2722,FALSE,6.05490195
2840,FALSE,6.06662127
3640,FALSE,6.08
3459,FALSE,6.08
3768,FALSE,6.1
4394,FALSE,6.1
5309,FALSE,6.1
4119,FALSE,6.134
3862,FALSE,6.168
3844,FALSE,6.189
4934,FALSE,6.2
4676,FALSE,6.2
5311,FALSE,6.2
3964,FALSE,6.254
2723,FALSE,6.25979793
3684,FALSE,6.26
3962,FALSE,6.26
4169,FALSE,6.28
3951,FALSE,6.284
3506,FALSE,6.29
5130,FALSE,6.29
5150,FALSE,6.3
3643,FALSE,6.316
2719,FALSE,6.33558927
4684,FALSE,6.344
3960,FALSE,6.351
3901,FALSE,6.3526555
3564,FALSE,6.36
3923,FALSE,6.36
4137,FALSE,6.366
2842,FALSE,6.37276449
4233,FALSE,6.38
2734,FALSE,6.40340763
5144,FALSE,6.43
3460,FALSE,6.44
4174,FALSE,6.45
3860,FALSE,6.46
3902,FALSE,6.47
3952,FALSE,6.473
3733,FALSE,6.5
4094,FALSE,6.5
5092,FALSE,6.5
5228,FALSE,6.5
4095,FALSE,6.508
3985,FALSE,6.522
3560,FALSE,6.55
4958,FALSE,6.55
3986,FALSE,6.572
4090,FALSE,6.578
3928,FALSE,6.58
2855,FALSE,6.59629611
4209,FALSE,6.599
4180,FALSE,6.6
4646,FALSE,6.6
4949,FALSE,6.66262554
2768,FALSE,6.67885968
3987,FALSE,6.692
5307,FALSE,6.7
3544,FALSE,6.73
5241,FALSE,6.73
3642,FALSE,6.74
3861,FALSE,6.764
3654,FALSE,6.79
4347,FALSE,6.8
5131,FALSE,6.82
3660,FALSE,6.83
2808,FALSE,6.83505324
4127,FALSE,6.853
3924,FALSE,6.91
3466,FALSE,6.915
5087,FALSE,6.95
5215,FALSE,6.98
3636,FALSE,6.99
5204,FALSE,6.99
3461,FALSE,7
4351,FALSE,7
5184,FALSE,7
5175,FALSE,7.02
4718,FALSE,7.026
3467,FALSE,7.037
3639,FALSE,7.04
5091,FALSE,7.04
4121,FALSE,7.056
3464,FALSE,7.07
4784,FALSE,7.08
3185,FALSE,7.1
4341,FALSE,7.1
4358,FALSE,7.1
5182,FALSE,7.1
4092,FALSE,7.128
3476,FALSE,7.13
4033,FALSE,7.14
3519,FALSE,7.16
3947,FALSE,7.165
3638,FALSE,7.18
3900,FALSE,7.18
4787,FALSE,7.18
5057,FALSE,7.199996948
5308,FALSE,7.2
5181,FALSE,7.2
3744,FALSE,7.224
3897,FALSE,7.24
3477,FALSE,7.27
5169,FALSE,7.3
3518,FALSE,7.31
3914,FALSE,7.31
4228,FALSE,7.337
3662,FALSE,7.34
4442,FALSE,7.35
4955,FALSE,7.36
2735,FALSE,7.38691794
3683,FALSE,7.39
4177,FALSE,7.41
3632,FALSE,7.42
3644,FALSE,7.432
3645,FALSE,7.44
3984,FALSE,7.443
3848,FALSE,7.461
4835,FALSE,7.5
4066,FALSE,7.514
3521,FALSE,7.57
3735,FALSE,7.6
4339,FALSE,7.6
4234,FALSE,7.61
3517,FALSE,7.66
2834,FALSE,7.71563526
3665,FALSE,7.73
3509,FALSE,7.73
3567,FALSE,7.73
2852,FALSE,7.73215758
4151,FALSE,7.774
3631,FALSE,7.79
4342,FALSE,7.8
4922,FALSE,7.8
4642,FALSE,7.8
5161,FALSE,7.8
5210,FALSE,7.8
3507,FALSE,7.82
3674,FALSE,7.84
3904,FALSE,7.8450178
4161,FALSE,7.847
3565,FALSE,7.86
5270,FALSE,7.9
5280,FALSE,7.9
3516,FALSE,7.94
3520,FALSE,7.94
5293,FALSE,7.94
4097,FALSE,7.956
3907,FALSE,7.96
4957,FALSE,7.96
3659,FALSE,7.97
3732,FALSE,8
3906,FALSE,8.01
3689,FALSE,8.049
4098,FALSE,8.05
3690,FALSE,8.057
3664,FALSE,8.06
4785,FALSE,8.06
3653,FALSE,8.07
3977,FALSE,8.096
5060,FALSE,8.099998474
3515,FALSE,8.1
3693,FALSE,8.112
4178,FALSE,8.14
3899,FALSE,8.15
3465,FALSE,8.19
3468,FALSE,8.2
5145,FALSE,8.2
3673,FALSE,8.21
3944,FALSE,8.216
4720,FALSE,8.239
4173,FALSE,8.26
3667,FALSE,8.3
4373,FALSE,8.3
4915,FALSE,8.3
5178,FALSE,8.3
4129,FALSE,8.311
3478,FALSE,8.32
3687,FALSE,8.36
3666,FALSE,8.39
4912,FALSE,8.4
5267,FALSE,8.4
3694,FALSE,8.404
3685,FALSE,8.42
3688,FALSE,8.441
4654,FALSE,8.448
3692,FALSE,8.471
3681,FALSE,8.49
4346,FALSE,8.5
4921,FALSE,8.5
3672,FALSE,8.52
3676,FALSE,8.52
3511,FALSE,8.57
